id,AFIR_sim,SCIM_sim,TLss_sim,TLss_frac_change,TL0_05tau_frac_change,AFIR_thy,AFIR_simple_thy,SCIM_thy,SCIM_simpler_thy,SCIM_simplest_thy,CL,dose,T0,L0,keT,keL,keDT,keTL,Kd_DT,Kd_TL,kon_DT,kon_TL
1,0.998,0.999,6.45,-7.61e-10,-1.38e-16,0.948,18.1,3.82,19.7,52.1,2.4,56.1,124,2.95,7.49,434,16.3,372,0.501,0.00503,1450,6.55
2,0.882,0.882,4.66e-06,-2.03e-08,0,0.998,567,10.4,559,568,2.4,4.9,0.0178,0.109,392,11.3,37.1,445,0.0143,294,182,5.96
3,0.951,0.952,0.00161,6.87e-09,-4.36e-15,0.928,12.8,6.56,12.9,12.9,2.4,134,24.5,0.00458,18.6,679,1.41,16.3,0.0557,66.4,26.8,1140
4,1,1,0.023,9.2e-08,0,1,6030000,18.9,1200,7080000,2.4,0.169,1.69,0.865,849,49.7,52.2,327,7.44,20.3,1.18,7.54
5,0.116,0.116,0.0193,-1.11e-07,0,0.979,45.9,2.85,3.81,45.9,2.4,133,0.0612,244,63.9,76.4,17.3,48.6,0.138,89.8,55.7,3550
6,1,1,0.00132,1.6e-14,0,1,10700000,4030,51900,32700000,2.4,35.9,0.0479,0.0231,489,13,0.351,467,223,0.62,80.8,2120
7,0.999,0.999,1.06e-07,-1.25e-13,-1.25e-16,1,918000,61.1,868000,919000,2.4,14.8,0.0272,0.00064,382,208,6.26,834,184,163,99.1,689
8,1,1,0.34,-1.63e-16,1.63e-16,1,2040,3550,10900,67200,2.4,0.235,27.7,0.556,13.5,1.44,0.0903,75.3,0.00248,0.00466,6350,1.66
9,0.994,0.994,0.00421,-1.82e-10,2.05e-16,0.999,1270,0.123,18,1270,2.4,0.182,0.626,0.0424,5.47,726,44.4,1.22,1.54,6.26,3560,128
10,0.997,0.998,0.00813,5.7e-10,4.26e-16,0.99,102,3.12,175,175,2.4,215,163,0.000387,48.2,627,26.1,21.4,9.3,1.95,45.9,3.71
11,1,1,0.0769,3.21e-13,0,0.999,1030,87.2,2600,34200,2.4,0.493,79.5,0.0114,1.63,6.01,0.612,28.8,0.152,0.0632,189,2.45
12,0.74,0.741,1.65e-06,9.38e-09,1.9e-16,0.998,471,7.02,410,475,2.4,0.293,0.000949,0.215,178,1.64,25.5,1180,0.00424,83.6,2140,150
13,0.295,0.297,5.51e-06,-2.6e-08,1.83e-16,0.995,190,0.118,5.52,192,2.4,1.49,0.000886,0.00383,26,64,244,147,1.17,0.0511,304,1110
14,0.315,0.799,0.0129,4.02e-14,6.43e-16,0.993,141,13.3,46.9,1290,2.4,343,0.39,0.000685,130,5.15,64.3,1.78,0.0451,0.00997,3.24,271
15,0.963,0.973,13.6,1.41e-08,-6.87e-15,0.998,492,447,462,658,2.4,449,2.15,165,227,8.2,0.0435,32.8,0.0181,25.4,5150,8010
16,0.00156,0.00156,1.39e-07,-0.000263,0,0.425,0.738,0.182,0.529,0.738,2.4,792,0.000596,10.8,2.31,999,376,686,0.383,0.00347,277,9.52
17,1,1,0.000382,5.11e-15,3.04e-13,0.997,339,0.983,342,342,2.4,1.51,365,0.000701,5.76,120,5.89,1.79,0.0348,669,14.7,580
18,0.00236,0.00236,2.16e-10,-9e-08,0,0.526,1.11,0.3,1.11,1.11,2.4,262,0.00217,0.00527,373,809,906,39.2,0.012,125,1580,77.1
19,0.281,0.281,6.14e-05,9.1e-07,0,0.985,65.9,59.5,65.9,65.9,2.4,91.6,0.102,0.128,219,62.4,0.357,8.42,0.00483,59.1,107,16.7
20,0.0164,0.0164,1.96e-07,-5.18e-07,0,0.887,7.88,0.0527,3.98,7.88,2.4,537,0.0018,0.111,31.5,54.5,591,8.53,65.6,16.8,2390,4180
21,1,1,0.0382,5.82e-15,0,1,1.49e+08,393,396,1.49e+08,2.4,150,0.000268,60.5,106,41.7,0.11,42.7,330,0.0392,9920,111
22,0.0104,0.0104,3.94e-06,3.01e-08,-1.43e-16,0.829,4.85,2.59,3.44,4.85,2.4,77.8,0.000426,16.4,1390,3.1,133,9.08,0.00265,18.4,4900,2100
23,1,1,68000,-8.55e-16,2.14e-16,1,8.71e+08,5900,5900,1.59e+13,2.4,4.83,131,305,4.05,7.13,0.0988,583,1.1,0.424,2.62,3600
24,1,1,0.125,-5.51e-13,9.89e-15,1,446000,1.22,11.7,449000,2.4,2.71,1.08,26.5,301,5.6,223,9.36,666,229,2.99,549
25,1,1,0.381,7.28e-16,3.89e-14,1,28900,18,5140,38900,2.4,0.755,168,0.177,23.9,14.1,1.78,2.26,0.00225,77.8,1.32,43.1
26,0.888,0.888,2.12e-07,-2.15e-08,-2.22e-16,1,3700,0.0946,1350,3710,2.4,4.87,0.00536,0.000921,33,6.56,350,79.6,68.3,12.7,3.87,9.9
27,0.0377,0.0377,1.32e-08,-0.00111,3.03e-16,0.949,18.5,0.132,13.1,18.5,2.4,254,0.000118,0.00501,19.2,8.63,145,3.2,23.9,1.68,26.2,530
28,0.516,0.516,1.46e-06,3.04e-12,0,0.998,496,1.14,275,497,2.4,204,0.00152,0.0898,1310,16.8,1140,7.79,0.00901,48.2,15.6,72.3
29,0.936,0.946,165,7.36e-11,3.26e-16,1,8050,0.00443,0.00443,9550,2.4,387,0.0133,990,3.92,1.06,253,1.12,3.58,0.0751,6.16,2050
30,0.999,1,1.35,-6.79e-12,0,1,72700,58.1,73.5,384000,2.4,1.58,1.89,67.3,1.02,1.61,4.72,346,0.635,54.5,3.98,8.68
31,0.953,0.954,1.46e-06,0.000526,0,1,2040,728,2040,2050,2.4,183,0.000512,0.026,131,16.5,0.118,713,0.2,0.0436,1.58,82.6
32,1,1,15.9,9.78e-13,0,1,125000,14.7,18.5,142000,2.4,11.5,4.66,867,1050,88.7,51.2,638,0.43,0.016,2.75,2.51
33,0.617,0.617,2.33,-5.95e-08,-3.52e-16,0.956,21.6,3.95,6.5,21.6,2.4,49,3.49,488,1.41,33.9,0.833,6.44,0.0866,451,1590,288
34,1,1,353,1.61e-16,-1.61e-16,0.996,226,5050,5050,258000,2.4,309,376,4.71,726,12.6,0.187,191,0.0118,1.09,1090,48.7
35,0.98,1,404,4.58e-12,-1.41e-16,0.999,760,0.407,0.407,828000,2.4,194,69.5,8.33,11,3.82,216,86,51.5,0.00218,1760,60
36,1,1,0.000114,-1.18e-16,-1.4e-14,0.999,804,0.266,827,831,2.4,0.335,74.9,0.00125,123,40.5,479,14.8,0.00147,816,551,148
37,1,1,3460,3.93e-14,2.63e-16,1,502000,0.00391,0.00391,671000,2.4,18.8,0.0792,472,219,109,1280,5.01,23.6,0.00916,57.8,3060
38,1,1,57.1,5.69e-13,1.24e-16,1,58300,95,95.1,60800,2.4,3.54,0.0373,217,15,71.4,0.123,11.7,0.00111,0.0376,1800,112
39,1,1,146,1.52e-12,0,1,949000,0.859,0.859,1090000,2.4,15.4,0.00275,712,145,14.5,12.4,10.6,0.18,0.0113,145,5000
40,0.927,0.95,0.000537,3.41e-09,-1.92e-16,1,6400,0.823,21.3,9510,2.4,1.25,0.0209,0.00219,1.87,5.31,3.72,9.97,11.5,0.0498,1210,321
41,0.0998,0.0999,1.27e-06,2.58e-07,1.33e-16,0.981,52.6,0.232,52.5,52.7,2.4,772,0.717,0.0088,1.35,993,5.85,708,144,376,15.9,5.87
42,1,1,359,0,0,1,2300,33,33,77700000,2.4,3.46,899,0.103,342,1.28,26.3,12.4,0.475,0.0104,1030,50.1
43,0.216,0.216,7.67e-06,-3.08e-11,0,0.985,67.3,2.27,32.8,67.3,2.4,4.68,0.000935,0.0471,907,24.2,372,2.23,0.064,1.23,8620,302
44,1,1,0.00308,7.04e-16,-1.55e-15,0.992,124,1.43,146,146,2.4,1.15,151,0.000671,16.7,360,13.6,13.8,0.0274,32.5,196,47
45,0.461,0.462,1.24e-05,6.65e-08,0,0.998,402,15,85.7,402,2.4,18.9,0.000161,0.951,1.8,65.1,9.4,1010,0.343,0.00163,2710,178
46,1,1,1710,3.45e-15,1.46e-15,1,3.86e+08,838,845,3.82e+09,2.4,0.108,142,231,62.1,388,0.555,464,3.35,18.9,15.8,2800
47,1,1,7.55,1.71e-11,0,1,1070000,6110,13100,1550000,2.4,9.24,12.6,19.1,254,1100,0.126,1240,1.04,0.541,6120,39.8
48,1,1,15.5,-1.17e-12,-1.15e-16,0.459,0.847,22.2,23.1,23.6,2.4,42.9,815,0.985,2.9,257,0.533,438,0.00127,0.00568,3370,8.45
49,1,1,0.315,0,0,0.987,76.3,0.458,53.7,157,2.4,0.41,114,0.0102,23.3,603,104,20.7,0.101,0.0111,6880,5.61
50,0.994,0.995,0.432,-5.38e-09,2.55e-16,0.991,104,2.15,4.33,113,2.4,16.1,0.496,1.07,559,671,172,138,0.0899,0.0763,652,121
51,1.02,1.02,2.23,8.98e-15,0,1,183000,225,227,184000,2.4,2.99,0.0131,18.8,1260,20.3,0.038,1.06,0.00777,0.0135,9.11,10.8
52,1,1,41.9,2.29e-14,0,1,47800000,1.04,1.04,5.94e+09,2.4,0.346,1.98,3.13,171,21.4,196,196,538,0.0013,2.3,1340
53,0.381,0.375,0.004,4.83e-08,0,0.996,257,13.6,224,259,2.4,944,1.22,0.038,35.6,109,2.48,3.49,14,0.965,1830,1.03
54,1,1,0.91,2.17e-12,1.22e-16,1,397000,3230,8490,398000,2.4,0.867,1.52,10.3,864,1140,0.171,40.1,0.0549,0.0177,1390,2.33
55,0.993,0.993,1.35e-05,1.08e-09,0,1,6260,1.58,1050,6260,2.4,0.445,0.0109,0.0545,720,464,456,51.1,0.188,41.8,358,27.9
56,0.996,1,0.0299,3.75e-11,0,1,11600,2990,57500,110000,2.4,138,10.8,0.000134,323,176,0.974,6.7,4.02,0.00238,558,145
57,1,1,0.0643,1.3e-15,-1.94e-15,0.677,2.09,1.73,25.3,126,2.4,0.802,65.9,0.000407,3.52,94.9,115,35.5,0.00214,0.381,2680,1000
58,0.996,0.996,6.69e-05,1.13e-11,0,1,118000,2.84,8530,119000,2.4,7.26,0.218,0.32,24.8,9.15,8.8,222,252,914,19.2,1.78
59,1,1,5.22,5.21e-09,0,1,3680,25200,26400,3220000,2.4,1.07,218,0.505,25.4,15.7,0.0897,1330,0.00404,0.00107,84.7,62.8
60,0.999,2.34,1.64e-08,0.548,3.54e-16,1,524000,1.2,18200,524000,2.4,1.07,0.000111,0.00142,5.98,39.4,5.04,806,385,21.9,1.74,1420
61,0.998,0.998,6.69e-05,-1.99e-10,2.02e-16,1,254000,105,20400,260000,2.4,53.5,0.0144,0.0359,371,75.4,3.64,930,110,0.0572,18.5,122
62,0.636,0.636,4.6e-06,-6.01e-05,-1.17e-16,0.999,798,7.64,153,798,2.4,126,0.00017,28.4,9.01,372,2.22,207,10.2,541,12.4,1.66
63,0.435,0.43,1.43e-08,5.53e-08,-1.99e-16,0.997,363,0.548,343,363,2.4,506,0.000379,0.000533,125,653,227,3.17,128,3.55,1.51,1.26
64,1,1,5.15,4.75e-13,0,1,1590000,1060,4450,24400000,2.4,10,254,0.00239,18.1,337,0.202,2.25,146,0.0603,12.7,38.9
65,1,1,265000,0,2.2e-16,1,1560000,1.43,1.43,59300000,2.4,39.6,83.1,312,3.06,30.6,0.935,1.33,10.9,0.0186,2.17,16.8
66,0.702,0.879,17,1.12e-07,1.83e-16,0.779,3.52,5.23,5.48,11.1,2.4,909,5.88,6.79,104,6.17,3.34,4.65,0.00599,0.279,49,2.61
67,0.958,1,472,-1.55e-13,0,0.991,111,9.97,9.97,310000,2.4,522,32.5,1.33,40.3,9.93,8.11,78,0.00616,0.0239,24.9,1150
68,1,1,3.1,5.02e-15,0,1,2e+06,245,290,2010000,2.4,1.67,0.58,11.4,260,614,0.203,10.4,1.79,0.00296,529,4.89
69,0.107,0.11,8.07e-08,3.21e-07,5.21e-15,0.982,55.6,0.144,57.1,57.3,2.4,8.43,0.0847,0.000295,1.15,1.88,8.22,23.6,2.78,34.1,1940,368
70,0.992,0.992,0.0401,5.43e-08,0,0.999,758,634,757,758,2.4,368,4.4,5.55,150,1250,0.0387,26.3,0.0591,598,102,4.65
71,0.175,0.286,2.35e-05,-4.3e-07,-8.25e-16,0.955,21.2,0.342,39.8,40,2.4,75.1,3.51,0.000113,6.04,1.17,33.1,1.43,0.0397,4.75,4.59,14.3
72,1,1,11,2.07e-14,1.13e-15,1,6210,8410,9170,199000,2.4,3.78,33.7,0.00113,195,831,0.0625,2.65,0.00287,0.00304,18.7,6300
73,1,1,7.19,5.15e-11,-2.47e-16,1,507000,773,8580,1410000,2.4,2.33,203,0.669,13.6,80,0.0462,13.3,3.21,9.95,62.1,1.48
74,1.01,1.01,4.58e-07,-3.68e-14,2.33e-16,1,29300,22.4,28300,29300,2.4,7.44,0.0164,0.000232,2.09,561,0.0934,1,8.08,8.22,121,6.34
75,0.943,0.943,0.00682,5.94e-07,1.2e-16,1,7770,0.0221,0.0226,7770,2.4,5.15,0.000151,1.19,158,1080,1020,19.7,15.2,0.00659,65.7,1080
76,1,1,9.58e-05,-6.44e-14,0,1,2280000,14.5,101000,2280000,2.4,4.77,0.698,0.00817,15.3,771,1.06,35.7,622,25.8,285,1.06
77,0.39,0.443,0.384,-7.15e-08,-1.28e-16,0.996,262,0.832,1.82,325,2.4,345,1.28,28,4.25,4.17,21.3,32.7,60.5,39.3,178,15.5
78,1,1,9310,-6.8e-14,-1.95e-16,1,1520000,45.5,45.5,1.9e+09,2.4,34.4,101,1.11,159,9.97,0.0705,1.48,10.4,0.00966,35.1,617
79,1,1,834000,1.4e-16,0,1,9.18e+09,1580,1580,2.58e+13,2.4,9.11,843,509,35.5,199,0.216,341,44.4,0.0318,9.99,708
80,0.0846,0.0807,0.00136,-1.3e-06,0,0.976,40.5,0.108,0.257,40.5,2.4,2.08,0.0235,1.28,1.42,213,12.6,1.28,0.329,0.937,265,1.53
81,0.935,0.935,0.782,-9.08e-09,3.98e-16,0.999,1880,130,279,1880,2.4,33.1,1.13,46.1,59.7,45.7,0.255,2.77,0.00196,62.4,1.2,995
82,0.997,0.997,1.89e-06,-1.43e-09,0,1,96900,1120,96700,96900,2.4,31.3,0.0782,0.0269,570,457,0.505,1150,2.23,1.41,894,1.04
83,1,1,8.31e-05,-5.07e-13,1.63e-16,1,6180000,1.19,9480,6180000,2.4,0.107,0.664,0.0535,188,191,158,13.4,427,428,4.68,169
84,1,1,0.0139,3.03e-12,1.24e-16,1,1690000,1210,21900,3600000,2.4,3.88,0.508,0.00954,72.5,10.4,0.121,8.03,9.03,0.258,266,89.9
85,0.63,0.898,57.8,-6.09e-08,0,0.997,367,19.1,19.2,1960,2.4,107,0.416,8.48,8.28,3.84,0.116,2.19,0.00838,0.0541,46.8,3370
86,1,1,3010,-5.41e-13,1.41e-14,0.988,85.5,0.162,0.162,649,2.4,292,40.4,6.72,945,203,96.7,2.99,0.00667,0.0898,56.5,5120
87,0.986,0.986,8.54e-05,-6.53e-07,-3.13e-16,1,27500,554,1560,27500,2.4,245,0.000167,9.85,669,9.08,0.782,5.92,5.98,18.5,1.53,14.8
88,1,1,0.000834,1.3e-16,-7.8e-16,1,57700,1180,368000,24500000,2.4,1.11,112,0.000179,536,8.52,193,775,17.6,23,127,760
89,0.994,0.994,0.0029,2.56e-10,4.01e-15,1,29700,0.0476,10,30300,2.4,0.91,0.622,0.809,20.6,21.2,450,111,468,172,41.2,2370
90,1,1,0.0202,-9.57e-08,1.72e-16,1,34900000,948,2970,3.5e+07,2.4,0.426,0.0429,360,250,51.3,0.212,95.4,8.86,751,176,6.2
91,0.796,0.797,2.15e-06,0.00135,1.57e-16,0.999,1800,10.2,342,1800,2.4,32.1,0.000109,0.365,38.8,1380,3.71,1.83,4.27,14.7,12.1,1100
92,0.996,0.999,136,4.51e-10,-2.1e-16,1,18900,0.576,0.594,116000,2.4,54.5,25.9,258,1.73,4.91,81.5,48.1,243,1.79,2.52,1.01
